X,Y,PEOPLE,TYPE,PEOPLE_201,icon_url
14.87257,-17.381235,7.0,Rural,7.9,./0.png
14.75039,-17.38144,7.0,Rural,7.9,./0.png
14.74082,-17.381993,7.0,Rural,7.9,./0.png
14.781675,-17.377815,7.0,Rural,7.9,./0.png
14.85343,-17.377016,7.0,Rural,7.9,./0.png
14.972048,-17.376627,7.0,Rural,7.9,./0.png
15.021508,-17.379597,7.0,Rural,7.9,./0.png
15.026979,-17.376177,7.0,Rural,7.9,./0.png
15.042965,-17.37632,7.0,Rural,7.9,./0.png
15.052042,-17.380723,7.0,Rural,7.9,./0.png
15.08455,-17.379781,7.0,Rural,7.9,./0.png
15.123088,-17.377631,7.0,Rural,7.9,./0.png
15.160146,-17.379494,7.0,Rural,7.9,./0.png
15.166154,-17.375583,7.0,Rural,7.9,./0.png
15.167828,-17.378552,7.0,Rural,7.9,./0.png
15.16948,-17.377016,7.0,Rural,7.9,./0.png
15.166261,-17.385167,7.0,Rural,7.9,./0.png
15.230098,-17.379597,7.0,Rural,7.9,./0.png
15.255418,-17.379167,7.0,Rural,7.9,./0.png
15.302324,-17.377365,7.0,Rural,7.9,./0.png
15.32979,-17.377016,7.0,Rural,7.9,./0.png
15.330927,-17.378696,7.0,Rural,7.9,./0.png
15.329146,-17.37974,7.0,Rural,7.9,./0.png
15.38161,-17.375808,7.0,Rural,7.9,./0.png
15.41708,-17.37675,7.0,Rural,7.9,./0.png
15.47081,-17.377057,7.0,Rural,7.9,./0.png
15.481431,-17.379351,7.0,Rural,7.9,./0.png
15.551448,-17.37974,7.0,Rural,7.9,./0.png
15.550311,-17.3789,7.0,Rural,7.9,./0.png
15.568957,-17.377119,7.0,Rural,7.9,./0.png
15.576811,-17.383692,7.0,Rural,7.9,./0.png
15.574708,-17.38273,7.0,Rural,7.9,./0.png
15.610478,-17.38144,7.0,Rural,7.9,./0.png
15.611894,-17.383631,7.0,Rural,7.9,./0.png
15.610628,-17.376361,7.0,Rural,7.9,./0.png
15.612409,-17.378266,7.0,Rural,7.9,./0.png
15.629447,-17.377569,7.0,Rural,7.9,./0.png
15.64187,-17.38402,7.0,Rural,7.9,./0.png
15.809133,-17.38273,7.0,Rural,7.9,./0.png
15.838809,-17.380375,7.0,Rural,7.9,./0.png
15.760446,-17.383508,7.0,Rural,7.9,./0.png
15.441842,-17.377856,7.0,Rural,7.9,./0.png
15.417316,-17.379187,7.0,Rural,7.9,./0.png
15.019684,-17.37847,7.0,Rural,7.9,./0.png
15.912344,-17.37589,7.0,Rural,7.9,./0.png
15.913632,-17.379699,7.0,Rural,7.9,./0.png
15.911443,-17.379269,7.0,Rural,7.9,./0.png
15.928717,-17.379617,7.0,Rural,7.9,./0.png
15.930326,-17.376361,7.0,Rural,7.9,./0.png
16.023667,-17.379228,7.0,Rural,7.9,./0.png
16.023774,-17.378327,7.0,Rural,7.9,./0.png
16.022058,-17.374866,7.0,Rural,7.9,./0.png
15.981417,-17.373023,7.0,Rural,7.9,./0.png
15.946698,-17.369214,7.0,Rural,7.9,./0.png
15.94187,-17.368251,7.0,Rural,7.9,./0.png
15.943437,-17.369808,7.0,Rural,7.9,./0.png
15.90889,-17.365446,7.0,Rural,7.9,./0.png
15.902205455965,-17.3720036683805,7.0,Rural,7.9,./0.png
15.9025628652766,-17.3696716528611,7.0,Rural,7.9,./0.png
15.9088427875845,-17.3709487979625,7.0,Rural,7.9,./0.png
15.8937309741026,-17.368436,7.0,Rural,7.9,./0.png
15.882862,-17.371856,5.0,Rural,7.9,./0.png
15.885887,-17.369153,5.0,Rural,7.9,./0.png
15.8844027046558,-17.3692449378273,5.0,Rural,7.9,./0.png
15.8840658601352,-17.3670788393792,7.0,Rural,7.9,./0.png
15.875931,-17.369398,5.0,Rural,7.9,./0.png
15.867434,-17.37288,7.0,Rural,7.9,./0.png
15.8715751658573,-17.3654727771114,7.0,Rural,7.9,./0.png
15.850053,-17.372511,7.0,Rural,7.9,./0.png
15.846684,-17.373023,7.0,Rural,7.9,./0.png
15.849431,-17.367944,7.0,Rural,7.9,./0.png
15.840375,-17.370627,7.0,Rural,7.9,./0.png
15.836813,-17.365876,7.0,Rural,7.9,./0.png
